CMDLINE c:\users\avinash\appdata\local\programs\python\python36\python.exe minor_new.py
MEM 1.546875 1624555518.9600
MEM 15.773438 1624555519.0747
MEM 24.457031 1624555519.1844
MEM 31.082031 1624555519.2971
MEM 37.945312 1624555519.4058
MEM 48.625000 1624555519.5155
MEM 58.339844 1624555519.6260
MEM 76.250000 1624555519.7419
MEM 76.441406 1624555519.8661
MEM 76.503906 1624555519.9751
MEM 76.558594 1624555520.0900
MEM 76.578125 1624555520.2087
MEM 76.582031 1624555520.3181
MEM 76.894531 1624555520.4274
MEM 76.902344 1624555520.5366
MEM 76.972656 1624555520.6444
MEM 77.058594 1624555520.7550
MEM 77.359375 1624555520.8663
MEM 77.359375 1624555520.9784
MEM 77.371094 1624555521.1016
MEM 77.375000 1624555521.2252
MEM 77.378906 1624555521.3344
MEM 77.378906 1624555521.4420
MEM 77.398438 1624555521.5501
MEM 77.402344 1624555521.6585
MEM 77.406250 1624555521.7686
MEM 77.421875 1624555521.8777
MEM 77.441406 1624555521.9865
MEM 77.441406 1624555522.0958
MEM 77.441406 1624555522.2045
MEM 77.808594 1624555522.3151
MEM 78.101562 1624555522.4254
MEM 78.101562 1624555522.5359
MEM 78.101562 1624555522.6489
MEM 78.101562 1624555522.7565
MEM 78.101562 1624555522.8695
MEM 78.101562 1624555522.9906
MEM 78.101562 1624555523.1018
MEM 78.113281 1624555523.2101
MEM 78.113281 1624555523.3225
MEM 78.113281 1624555523.4306
MEM 78.113281 1624555523.5438
MEM 78.113281 1624555523.6505
MEM 78.113281 1624555523.7621
MEM 78.113281 1624555523.8704
MEM 78.113281 1624555523.9786
MEM 78.113281 1624555524.0866
MEM 78.113281 1624555524.1965
MEM 78.113281 1624555524.3050
MEM 78.113281 1624555524.4151
MEM 78.113281 1624555524.5269
MEM 78.113281 1624555524.6378
MEM 78.113281 1624555524.7453
MEM 78.113281 1624555524.8553
MEM 78.113281 1624555524.9770
MEM 78.113281 1624555525.0883
MEM 78.113281 1624555525.1976
MEM 78.113281 1624555525.3075
MEM 78.113281 1624555525.4165
MEM 78.113281 1624555525.5276
MEM 78.113281 1624555525.6355
MEM 78.113281 1624555525.7467
MEM 78.113281 1624555525.8545
MEM 78.113281 1624555525.9645
MEM 78.113281 1624555526.0768
MEM 78.113281 1624555526.1875
MEM 78.113281 1624555526.2950
MEM 78.113281 1624555526.4019
MEM 78.113281 1624555526.5114
MEM 78.113281 1624555526.6214
MEM 78.113281 1624555526.7306
MEM 78.113281 1624555526.8395
MEM 78.113281 1624555526.9501
MEM 78.113281 1624555527.0561
MEM 78.113281 1624555527.1663
MEM 78.113281 1624555527.2748
MEM 78.113281 1624555527.3870
MEM 78.113281 1624555527.4969
MEM 78.113281 1624555527.6070
MEM 78.113281 1624555527.7166
MEM 78.113281 1624555527.8396
MEM 78.113281 1624555527.9484
MEM 78.113281 1624555528.0575
MEM 78.113281 1624555528.1689
MEM 78.113281 1624555528.2905
MEM 78.113281 1624555528.3997
MEM 78.113281 1624555528.5077
MEM 78.113281 1624555528.6195
MEM 78.113281 1624555528.7277
MEM 78.113281 1624555528.8384
MEM 78.113281 1624555528.9600
MEM 78.113281 1624555529.0685
MEM 78.113281 1624555529.1785
MEM 78.113281 1624555529.2919
MEM 78.113281 1624555529.4030
MEM 78.113281 1624555529.5293
MEM 78.113281 1624555529.6535
MEM 78.113281 1624555529.7764
MEM 78.113281 1624555529.8985
MEM 78.113281 1624555530.0103
MEM 78.113281 1624555530.1332
MEM 78.113281 1624555530.2423
MEM 78.113281 1624555530.3515
MEM 78.113281 1624555530.4612
MEM 78.113281 1624555530.5754
MEM 78.113281 1624555530.6974
MEM 78.113281 1624555530.8214
MEM 78.113281 1624555530.9457
MEM 78.113281 1624555531.0666
MEM 78.113281 1624555531.1750
MEM 78.113281 1624555531.2903
MEM 78.113281 1624555531.4143
MEM 78.113281 1624555531.5360
MEM 78.113281 1624555531.6454
MEM 78.113281 1624555531.7576
MEM 78.113281 1624555531.8778
MEM 78.113281 1624555531.9867
MEM 78.113281 1624555532.0954
MEM 78.113281 1624555532.2032
MEM 78.113281 1624555532.3128
MEM 78.113281 1624555532.4230
MEM 78.113281 1624555532.5320
MEM 78.113281 1624555532.6419
MEM 78.113281 1624555532.7496
MEM 78.113281 1624555532.8605
MEM 78.113281 1624555532.9706
MEM 78.113281 1624555533.0795
MEM 78.113281 1624555533.1874
MEM 78.113281 1624555533.2981
MEM 78.113281 1624555533.4067
MEM 78.113281 1624555533.5162
MEM 78.113281 1624555533.6284
MEM 78.113281 1624555533.7345
MEM 78.113281 1624555533.8435
MEM 78.113281 1624555533.9527
MEM 78.113281 1624555534.0624
MEM 78.113281 1624555534.1725
MEM 78.113281 1624555534.2952
MEM 78.113281 1624555534.4028
MEM 78.113281 1624555534.5130
MEM 78.113281 1624555534.6206
MEM 78.113281 1624555534.7304
MEM 78.113281 1624555534.8397
MEM 78.113281 1624555534.9485
MEM 78.113281 1624555535.0584
MEM 78.113281 1624555535.1674
MEM 78.113281 1624555535.2802
MEM 78.113281 1624555535.4029
MEM 78.113281 1624555535.5120
MEM 78.113281 1624555535.6208
MEM 78.113281 1624555535.7309
MEM 78.113281 1624555535.8394
MEM 78.113281 1624555535.9484
MEM 78.113281 1624555536.0606
MEM 78.113281 1624555536.1716
MEM 78.113281 1624555536.2793
MEM 78.113281 1624555536.3894
MEM 78.113281 1624555536.4994
MEM 78.113281 1624555536.6094
MEM 78.113281 1624555536.7179
MEM 78.113281 1624555536.8294
MEM 78.113281 1624555536.9410
MEM 78.113281 1624555537.0510
MEM 78.113281 1624555537.1604
MEM 78.113281 1624555537.2679
MEM 78.113281 1624555537.3789
MEM 78.113281 1624555537.4877
MEM 78.117188 1624555537.5945
MEM 78.117188 1624555537.7032
MEM 78.117188 1624555537.8144
MEM 78.117188 1624555537.9231
MEM 78.117188 1624555538.0321
MEM 78.117188 1624555538.1432
MEM 78.117188 1624555538.2641
MEM 78.117188 1624555538.3723
MEM 78.117188 1624555538.4814
MEM 78.117188 1624555538.5910
MEM 78.117188 1624555538.7035
MEM 78.117188 1624555538.8105
MEM 78.117188 1624555538.9227
MEM 78.117188 1624555539.0438
MEM 78.117188 1624555539.1530
MEM 78.117188 1624555539.2594
MEM 78.117188 1624555539.3691
MEM 78.117188 1624555539.4785
MEM 78.117188 1624555539.5864
MEM 78.117188 1624555539.6957
MEM 78.117188 1624555539.8047
MEM 78.117188 1624555539.9143
MEM 78.117188 1624555540.0242
MEM 78.117188 1624555540.1325
MEM 78.117188 1624555540.2423
MEM 78.117188 1624555540.3508
MEM 78.117188 1624555540.4605
MEM 78.117188 1624555540.5705
MEM 78.117188 1624555540.6822
MEM 78.117188 1624555540.7916
MEM 78.117188 1624555540.9040
MEM 78.117188 1624555541.0114
MEM 78.117188 1624555541.1239
MEM 78.117188 1624555541.2448
MEM 78.132812 1624555541.3555
MEM 67.945312 1624555541.4671
